domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
ctp3,test08_10.graph,aot2,optimistic,50,10,0.5,100,74.47600,1.75165,56.16
ctp3,test08_10.graph,aot2,optimistic,100,10,0.5,100,67.74100,1.64668,104.54
ctp3,test08_10.graph,aot2,optimistic,500,10,0.5,100,67.45400,1.47717,309.47
ctp3,test08_10.graph,aot2,optimistic,1000,10,0.5,100,64.78200,1.30001,470.53
ctp3,test08_10.graph,aot2,optimistic,5000,10,0.5,100,63.15400,1.31493,1873.67
ctp3,test08_10.graph,aot-value2,optimistic,10,10,0.5,100,77.23300,2.20803,1.60
ctp3,test08_10.graph,aot-value2,optimistic,50,10,0.5,100,70.87800,1.74450,7.57
ctp3,test08_10.graph,aot-value2,optimistic,100,10,0.5,100,69.78100,1.81959,13.72
ctp3,test08_10.graph,aot-value2,optimistic,500,10,0.5,100,68.83900,1.64113,58.72
ctp3,test08_10.graph,aot-value2,optimistic,1000,10,0.5,100,70.01700,1.54817,117.88
ctp3,test08_10.graph,aot-value2,optimistic,5000,10,0.5,100,65.77700,1.41553,926.09
ctp3,test09_10.graph,uct2,optimistic,100,10,0,NA,107.74400,2.29125,14.41
ctp3,test09_10.graph,uct2,optimistic,500,10,0,NA,93.09400,1.90616,66.42
ctp3,test09_10.graph,uct2,optimistic,1000,10,0,NA,86.31000,1.70390,128.12
ctp3,test09_10.graph,uct2,optimistic,5000,10,0,NA,77.73900,1.57928,567.44
ctp3,test09_10.graph,uct2,optimistic,10000,10,0,NA,77.10500,1.45954,1109.60
ctp3,test09_10.graph,aot2,optimistic,10,10,0.5,100,103.39000,2.21648,20.51
ctp3,test09_10.graph,aot2,optimistic,50,10,0.5,100,95.95700,1.87159,87.06
ctp3,test09_10.graph,aot2,optimistic,100,10,0.5,100,89.08800,1.63809,156.09
ctp3,test09_10.graph,aot2,optimistic,500,10,0.5,100,80.04800,1.34985,406.43
ctp3,test09_10.graph,aot2,optimistic,1000,10,0.5,100,81.12900,1.36417,583.36
ctp3,test09_10.graph,aot2,optimistic,5000,10,0.5,100,81.49000,1.41864,1967.01
ctp3,test09_10.graph,aot-value2,optimistic,10,10,0.5,100,80.05800,1.50489,2.06
ctp3,test09_10.graph,aot-value2,optimistic,50,10,0.5,100,94.50200,1.72178,10.27
ctp3,test09_10.graph,aot-value2,optimistic,100,10,0.5,100,91.41100,1.73960,18.53
ctp3,test09_10.graph,aot-value2,optimistic,500,10,0.5,100,92.44700,1.73867,69.69
ctp3,test09_10.graph,aot-value2,optimistic,1000,10,0.5,100,86.67300,1.45951,142.32
ctp3,test09_10.graph,aot-value2,optimistic,5000,10,0.5,100,83.08400,1.41903,1072.93
