
exp = #expansions per recomputation of deltas

--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
test08_20_T  uct        optimistic    500   NA  259.98       3.70         534.61
test08_20_T  uct        optimistic   1000   NA  234.17       3.38        1035.15
test08_20_T  uct        optimistic   5000   NA  197.16       2.72        4874.21
test08_20_T  uct        optimistic  10000   NA  191.99       2.64        9512.29
test08_20_T  uct        random        100   NA  318.50       4.75         120.54
test08_20_T  uct        random        500   NA  259.75       3.48         567.31
test08_20_T  uct        random       1000   NA  255.84       3.54        1095.89
test08_20_T  uct        random       5000   NA  245.27       3.37        5141.92
test08_20_T  uct        random      10000   NA  248.47       3.54       10158.27
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test09_20_T  aot        optimistic    100   50  204.34       4.40        4016.38
test09_20_T  aot        optimistic    100  100  213.36       4.30        4020.90
test09_20_T  aot        optimistic    100  500  212.37       4.30        3977.17
test09_20_T  aot        optimistic    500   50  193.85       3.75       15211.77
test09_20_T  aot        optimistic    500  100  192.17       3.62       16915.26
test09_20_T  aot        optimistic    500  500  190.23       3.74       17814.29
test09_20_T  aot        optimistic   1000   50  184.58       3.44       23534.16
test09_20_T  aot        optimistic   1000  100  188.26       3.39       28208.56
test09_20_T  aot        optimistic   1000  500  184.26       3.41       33959.67
test09_20_T  aot        optimistic   5000   50  179.68       3.19       63515.01
test09_20_T  aot        optimistic   5000  100  183.83       3.25       74523.59
test09_20_T  aot        optimistic   5000  500  174.58       3.23      115253.44
test09_20_T  aot        optimistic  10000  500  170.74       2.86      176559.02
test09_20_T  aot        random        100   50  180.69       3.65        4315.96
test09_20_T  aot        random        100  100  187.09       3.81        4515.23
test09_20_T  aot        random        100  500  192.06       3.89        4586.35
test09_20_T  aot        random        500   50  175.30       3.25       14101.43
test09_20_T  aot        random        500  100  176.34       3.25       17681.46
test09_20_T  aot        random        500  500  179.23       3.33       20295.31
test09_20_T  aot        random       1000   50  174.02       3.15       19188.17
test09_20_T  aot        random       1000  100  176.71       3.14       26377.19
test09_20_T  aot        random       1000  500  175.03       3.12       38004.29
test09_20_T  aot        random       5000   50  181.67       3.32       45384.95
test09_20_T  aot        random       5000  100  179.09       3.34       54134.00
test09_20_T  aot        random       5000  500  172.93       2.93      109713.12
test09_20_T  aot        random      10000  500  167.88       2.78      143915.75
test09_20_T  uct        optimistic    100   NA  326.64       6.36          97.55
test09_20_T  uct        optimistic    500   NA  259.42       5.03         472.01
test09_20_T  uct        optimistic   1000   NA  226.01       4.20         898.76
test09_20_T  uct        optimistic   5000   NA  188.58       3.47        4072.34
test09_20_T  uct        optimistic  10000   NA  186.71       3.36        8000.68
test09_20_T  uct        random        100   NA  270.81       5.94          98.05
test09_20_T  uct        random        500   NA  203.79       4.36         431.56
test09_20_T  uct        random       1000   NA  204.19       4.15         853.62
test09_20_T  uct        random       5000   NA  192.66       3.70        3904.39
test09_20_T  uct        random      10000   NA  184.10       3.66        7364.74
--------------------------------------------------------------------------------
