domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
ctp3,test04_10.graph,aot,optimistic,5000,10,0.5,100,90.51800,1.25297,3044.13
ctp3,test05_10.graph,aot-random,random,10,10,0.5,100,147.40100,2.46041,9.13
ctp3,test05_10.graph,aot-random,random,50,10,0.5,100,140.50800,2.33257,13.02
ctp3,test05_10.graph,aot-random,random,100,10,0.5,100,142.16100,2.19888,17.85
ctp3,test05_10.graph,aot-random,random,500,10,0.5,100,132.33501,2.01778,76.15
ctp3,test05_10.graph,aot-random,random,1000,10,0.5,100,128.85201,1.94536,198.64
ctp3,test05_10.graph,aot-random,random,5000,10,0.5,100,121.58400,1.72170,3829.61
ctp3,test05_10.graph,aot-value,optimistic,10,10,0.5,100,97.78200,1.42691,2.56
ctp3,test05_10.graph,aot-value,optimistic,50,10,0.5,100,96.41000,1.51783,12.48
ctp3,test05_10.graph,aot-value,optimistic,100,10,0.5,100,97.17000,1.56505,24.34
ctp3,test05_10.graph,aot-value,optimistic,500,10,0.5,100,99.26000,1.50521,100.11
ctp3,test05_10.graph,aot-value,optimistic,1000,10,0.5,100,99.45800,1.31988,194.98
ctp3,test05_10.graph,aot-value,optimistic,5000,10,0.5,100,94.74500,1.42527,1539.02
ctp3,test05_10.graph,uct,random,10,10,0,NA,148.93401,2.69541,2.39
ctp3,test05_10.graph,uct,random,50,10,0,NA,138.17400,2.47925,11.18
ctp3,test05_10.graph,uct,random,100,10,0,NA,133.19501,2.34324,22.15
ctp3,test05_10.graph,uct,random,500,10,0,NA,129.22600,2.03438,106.99
ctp3,test05_10.graph,uct,random,1000,10,0,NA,122.92200,1.97049,209.57
ctp3,test05_10.graph,uct,random,5000,10,0,NA,119.36900,1.89541,1017.39
ctp3,test05_10.graph,uct,random,10000,10,0,NA,121.49100,1.84731,2029.13
ctp3,test05_10.graph,uct,optimistic,10,10,0,NA,122.68500,2.40069,2.14
ctp3,test05_10.graph,uct,optimistic,50,10,0,NA,125.17400,2.17173,10.51
ctp3,test05_10.graph,uct,optimistic,100,10,0,NA,120.36900,2.07398,20.65
ctp3,test05_10.graph,uct,optimistic,500,10,0,NA,115.54400,1.94757,101.34
ctp3,test05_10.graph,uct,optimistic,1000,10,0,NA,114.28500,1.81392,201.51
ctp3,test05_10.graph,uct,optimistic,5000,10,0,NA,109.48300,1.72182,999.25
ctp3,test05_10.graph,uct,optimistic,10000,10,0,NA,105.43200,1.74375,1952.97
ctp3,test05_10.graph,aot-random,optimistic,10,10,0.5,100,124.47400,2.09936,8.10
ctp3,test05_10.graph,aot-random,optimistic,50,10,0.5,100,125.02900,2.12189,11.85
ctp3,test05_10.graph,aot-random,optimistic,100,10,0.5,100,128.26199,2.15402,16.65
ctp3,test05_10.graph,aot-random,optimistic,500,10,0.5,100,125.68500,2.04198,73.54
ctp3,test05_10.graph,aot-random,optimistic,1000,10,0.5,100,120.84000,1.88971,197.72
ctp3,test05_10.graph,aot-random,optimistic,5000,10,0.5,100,116.33000,1.79244,3811.15
ctp3,test05_10.graph,aot,random,10,10,0.5,100,128.06900,2.11488,24.50
ctp3,test05_10.graph,aot,random,50,10,0.5,100,113.52200,1.79843,122.23
ctp3,test05_10.graph,aot,random,100,10,0.5,100,109.02700,1.74147,228.37
ctp3,test05_10.graph,aot,random,500,10,0.5,100,102.93700,1.55436,617.61
ctp3,test05_10.graph,aot,random,1000,10,0.5,100,103.59500,1.58238,835.66
ctp3,test05_10.graph,aot,random,5000,10,0.5,100,100.97700,1.61382,2617.12
ctp3,test05_10.graph,aot,optimistic,10,10,0.5,100,110.66100,1.74221,21.37
ctp3,test05_10.graph,aot,optimistic,50,10,0.5,100,102.00800,1.55484,102.41
ctp3,test05_10.graph,aot,optimistic,100,10,0.5,100,100.30300,1.52953,189.81
ctp3,test05_10.graph,aot,optimistic,500,10,0.5,100,96.08000,1.39977,533.92
ctp3,test05_10.graph,aot,optimistic,1000,10,0.5,100,94.78300,1.41841,758.49
ctp3,test05_10.graph,aot,optimistic,5000,10,0.5,100,92.12200,1.49513,3091.48
ctp3,test06_10.graph,aot-random,random,10,10,0.5,100,125.74000,2.17743,9.23
ctp3,test06_10.graph,aot-random,random,50,10,0.5,100,122.95300,2.03922,12.56
ctp3,test06_10.graph,aot-random,random,100,10,0.5,100,121.84500,1.99690,17.49
ctp3,test06_10.graph,aot-random,random,500,10,0.5,100,120.38500,2.01674,77.01
ctp3,test06_10.graph,aot-random,random,1000,10,0.5,100,119.97100,1.99905,210.86
ctp3,test06_10.graph,aot-random,random,5000,10,0.5,100,117.20700,1.89011,4472.14
ctp3,test06_10.graph,aot-value,optimistic,10,10,0.5,100,67.90900,0.88514,2.94
ctp3,test06_10.graph,aot-value,optimistic,50,10,0.5,100,69.15700,1.01645,11.82
ctp3,test06_10.graph,aot-value,optimistic,100,10,0.5,100,70.23600,1.08277,22.78
ctp3,test06_10.graph,aot-value,optimistic,500,10,0.5,100,69.29900,0.99621,97.27
ctp3,test06_10.graph,aot-value,optimistic,1000,10,0.5,100,67.88800,0.95956,201.80
ctp3,test06_10.graph,aot-value,optimistic,5000,10,0.5,100,68.45200,0.99001,1648.56
ctp3,test06_10.graph,uct,random,10,10,0,NA,124.49500,2.16747,2.12
ctp3,test06_10.graph,uct,random,50,10,0,NA,111.24500,1.90227,9.92
ctp3,test06_10.graph,uct,random,100,10,0,NA,104.72700,1.73284,19.33
ctp3,test06_10.graph,uct,random,500,10,0,NA,92.01700,1.68305,87.71
ctp3,test06_10.graph,uct,random,1000,10,0,NA,87.57200,1.47995,168.31
ctp3,test06_10.graph,uct,random,5000,10,0,NA,89.50200,1.60141,790.07
ctp3,test06_10.graph,uct,random,10000,10,0,NA,83.99000,1.47359,1523.22
ctp3,test06_10.graph,uct,optimistic,10,10,0,NA,93.65100,1.83358,1.96
ctp3,test06_10.graph,uct,optimistic,50,10,0,NA,99.97600,1.60463,9.44
ctp3,test06_10.graph,uct,optimistic,100,10,0,NA,97.38400,1.54984,18.56
ctp3,test06_10.graph,uct,optimistic,500,10,0,NA,83.92600,1.25712,85.51
ctp3,test06_10.graph,uct,optimistic,1000,10,0,NA,80.57700,1.10177,166.10
ctp3,test06_10.graph,uct,optimistic,5000,10,0,NA,75.66600,1.03989,772.66
ctp3,test06_10.graph,uct,optimistic,10000,10,0,NA,74.57800,0.99958,1510.07
ctp3,test06_10.graph,aot-random,optimistic,10,10,0.5,100,81.44800,1.39546,8.63
ctp3,test06_10.graph,aot-random,optimistic,50,10,0.5,100,84.83100,1.40262,11.97
ctp3,test06_10.graph,aot-random,optimistic,100,10,0.5,100,82.71000,1.33485,16.46
ctp3,test06_10.graph,aot-random,optimistic,500,10,0.5,100,80.02900,1.25338,74.60
ctp3,test06_10.graph,aot-random,optimistic,1000,10,0.5,100,81.82600,1.26023,207.18
ctp3,test06_10.graph,aot-random,optimistic,5000,10,0.5,100,80.25900,1.24359,4439.11
ctp3,test06_10.graph,aot,random,10,10,0.5,100,95.03000,1.61225,31.63
ctp3,test06_10.graph,aot,random,50,10,0.5,100,75.42100,1.19878,114.28
ctp3,test06_10.graph,aot,random,100,10,0.5,100,71.20000,0.99145,204.09
ctp3,test06_10.graph,aot,random,500,10,0.5,100,69.93300,1.06364,584.82
ctp3,test06_10.graph,aot,random,1000,10,0.5,100,71.93000,1.10103,797.45
ctp3,test06_10.graph,aot,random,5000,10,0.5,100,70.75600,0.99231,2119.58
ctp3,test06_10.graph,aot,optimistic,10,10,0.5,100,78.78300,1.30519,27.14
ctp3,test06_10.graph,aot,optimistic,50,10,0.5,100,70.61200,1.06701,100.19
ctp3,test06_10.graph,aot,optimistic,100,10,0.5,100,68.77800,0.90016,176.96
ctp3,test06_10.graph,aot,optimistic,500,10,0.5,100,69.03500,0.93036,492.46
ctp3,test06_10.graph,aot,optimistic,1000,10,0.5,100,68.79300,0.93607,713.93
ctp3,test06_10.graph,aot,optimistic,5000,10,0.5,100,68.75400,0.98652,2792.71
